player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
3523900%,BW Hilfenhaus,Right hand Bat,Right arm Fast medium, ,Benjamin William Hilfenhaus,Benjamin William,
4325300%,C Bosch,Right hand Bat,Right arm Fast medium,NULL,Corbin Bosch,Corbin Bosch,https://www.espncricinfo.com/cricketers/corbin-bosch-594322
31600%,C de Grandhomme,Right hand Bat,Right arm Medium fast, ,Colin de Grandhomme,Colin de,
1504900%,C Ganapathy,Right hand Bat,Right arm Medium, ,Chandrasekar Ganapathy,Chandrasekar Ganapathy,
838300%,C Green,Right hand Bat,Right arm Fast medium, ,Cameron Donald Green,Cameron Donald,
1547200%,C Madan,Right hand Bat, ,Wicketkeeper,Chandan Madan,Chandan Madan,
139800%,C Munro,Left hand Bat,Right arm Medium fast, ,Colin Munro,Colin Munro,
1397300%,C Nanda,Right hand Bat,Legbreak, ,Chetanya Nanda,Chetanya Nanda,
542200%,C Sakariya,Left hand Bat,Left arm Medium fast, ,Chetan Sakariya,Chetan Sakariya,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754
274300%,CA Ingram,Left hand Bat,Legbreak,Wicketkeeper,Colin Alexander Ingram,Colin Alexander,
5700%,CA Lynn,Right hand Bat,Slow Left arm Orthodox, ,Christopher Austin Lynn,Christopher Austin,
1446300%,CA Pujara,Right hand Bat,Legbreak, ,Cheteshwar Arvind Pujara,Cheteshwar Arvind,
100%,CH Gayle,Left hand Bat,Right arm Offbreak, ,Christopher Henry Gayle,Christopher Henry,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Chris%20Gayle.png
18200%,CH Morris,Right hand Bat,Right arm Fast medium, ,Christopher Henry Morris,Christopher Henry,
25800%,CJ Anderson,Left hand Bat,Left arm Medium fast, ,Corey James Anderson,Corey James,
235300%,CJ Dala,Right hand Bat,Right arm Medium, ,Carl Junior Dala,Carl Junior,
1686200%,CJ Ferguson,Right hand Bat,Right arm Medium, ,Callum James Ferguson,Callum James,
477100%,CJ Green,Right hand Bat,Right arm Offbreak, ,Christopher James Green,Christopher James,
132700%,CJ Jordan,Right hand Bat,Right arm Fast medium, ,Christopher James Jordan,Christopher James,
3469700%,CJ McKay,Right hand Bat,Right arm Fast medium, ,Clinton James McKay,Clinton James,
1251800%,CK Kapugedera,Right hand Bat,Right arm Medium,Occasional Wicketkeeper,Chamara Kantha Kapugedera,Chamara Kantha,
1430300%,CK Langeveldt,Right hand Bat,Right arm Fast medium, ,Charl Kenneth Langeveldt,Charl Kenneth,
1193400%,CL White,Right hand Bat,Legbreak Googly, ,Cameron Leon White,Cameron Leon,
3655500%,CM Gautam,Right hand Bat, ,Wicketkeeper,Chidhambaram Muralidharen Gautam,Chidhambaram Muralidharen,
18300%,CR Brathwaite,Right hand Bat,Right arm Fast medium, ,Carlos Ricardo Brathwaite,Carlos Ricardo,
6200%,CR Woakes,Right hand Bat,Right arm Fast medium, ,Christopher Roger Woakes,Christopher Roger,
1226900%,CRD Fernando,Right hand Bat,Right arm Fast medium, ,Congenige Randhi Dilhara Fernando,Congenige Randhi,
282500%,CV Varun,Right hand Bat,Legbreak Googly, ,Varun Chakravarthy Vinod,Varun Chakravarthy,
694400%,D Brevis,Right hand Bat,Legbreak, ,Dewald Brevis,Dewald Brevis,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Dewald%20Brevis.png
1376300%,D du Preez,Right hand Bat,Right arm Fast medium, ,Dillon du Preez,Dillon du,
1138900%,D Ferreira,Right hand Bat,Right arm Offbreak,Wicketkeeper,Donovan Ferreira,Donovan Ferreira,https://www.espncricinfo.com/cricketers/donovan-ferreira-698315
880800%,D Jansen,Right hand Bat,Left arm Fast,NULL,Duan Jansen,Duan Jansen,
1210500%,D Kalyankrishna,Right hand Bat,Right arm Medium fast, ,Doddapaneni Kalyankrishna,Doddapaneni Kalyankrishna,
